,,,,MB-clonallines-nla-karyo-plate2c5_124,MB-clonallines-nla-karyo-plate2c5_130,MB-clonallines-nla-karyo-plate2c5_132,MB-clonallines-nla-karyo-plate2c5_120,MB-clonallines-nla-karyo-plate2c5_122,MB-clonallines-nla-karyo-plate2c5_128,MB-clonallines-nla-karyo-plate2c5_134,MB-clonallines-nla-karyo-plate2c5_126,MB-clonallines-nla-karyo-plate2c5_111,MB-clonallines-nla-karyo-plate2c5_75,MB-clonallines-nla-karyo-plate2c5_109,MB-clonallines-nla-karyo-plate2c5_99,MB-clonallines-nla-karyo-plate2c5_103,MB-clonallines-nla-karyo-plate2c5_32,MB-clonallines-nla-karyo-plate2c5_105,MB-clonallines-nla-karyo-plate2c5_101,MB-clonallines-nla-karyo-plate2c5_125,MB-clonallines-nla-karyo-plate2c5_107,MB-clonallines-nla-karyo-plate2c5_38,MB-clonallines-nla-karyo-plate2c5_131,MB-clonallines-nla-karyo-plate2c5_56,MB-clonallines-nla-karyo-plate2c5_97,MB-clonallines-nla-karyo-plate2c5_74,MB-clonallines-nla-karyo-plate2c5_58,MB-clonallines-nla-karyo-plate2c5_121,MB-clonallines-nla-karyo-plate2c5_54,MB-clonallines-nla-karyo-plate2c5_168,MB-clonallines-nla-karyo-plate2c5_133,MB-clonallines-nla-karyo-plate2c5_148,MB-clonallines-nla-karyo-plate2c5_8,MB-clonallines-nla-karyo-plate2c5_158,MB-clonallines-nla-karyo-plate2c5_170,MB-clonallines-nla-karyo-plate2c5_50,MB-clonallines-nla-karyo-plate2c5_73,MB-clonallines-nla-karyo-plate2c5_80,MB-clonallines-nla-karyo-plate2c5_156,MB-clonallines-nla-karyo-plate2c5_26,MB-clonallines-nla-karyo-plate2c5_108,MB-clonallines-nla-karyo-plate2c5_48,MB-clonallines-nla-karyo-plate2c5_33,MB-clonallines-nla-karyo-plate2c5_28,MB-clonallines-nla-karyo-plate2c5_24,MB-clonallines-nla-karyo-plate2c5_127,MB-clonallines-nla-karyo-plate2c5_76,MB-clonallines-nla-karyo-plate2c5_1,MB-clonallines-nla-karyo-plate2c5_144,MB-clonallines-nla-karyo-plate2c5_135,MB-clonallines-nla-karyo-plate2c5_29,MB-clonallines-nla-karyo-plate2c5_79,MB-clonallines-nla-karyo-plate2c5_78,MB-clonallines-nla-karyo-plate2c5_146,MB-clonallines-nla-karyo-plate2c5_6,MB-clonallines-nla-karyo-plate2c5_35,MB-clonallines-nla-karyo-plate2c5_172,MB-clonallines-nla-karyo-plate2c5_96,MB-clonallines-nla-karyo-plate2c5_163,MB-clonallines-nla-karyo-plate2c5_77,MB-clonallines-nla-karyo-plate2c5_30,MB-clonallines-nla-karyo-plate2c5_5,MB-clonallines-nla-karyo-plate2c5_102,MB-clonallines-nla-karyo-plate2c5_9,MB-clonallines-nla-karyo-plate2c5_123,MB-clonallines-nla-karyo-plate2c5_84,MB-clonallines-nla-karyo-plate2c5_12,MB-clonallines-nla-karyo-plate2c5_52,MB-clonallines-nla-karyo-plate2c5_7,MB-clonallines-nla-karyo-plate2c5_31,MB-clonallines-nla-karyo-plate2c5_154,MB-clonallines-nla-karyo-plate2c5_152,MB-clonallines-nla-karyo-plate2c5_34,MB-clonallines-nla-karyo-plate2c5_150,MB-clonallines-nla-karyo-plate2c5_36,MB-clonallines-nla-karyo-plate2c5_14,MB-clonallines-nla-karyo-plate2c5_157,MB-clonallines-nla-karyo-plate2c5_39,MB-clonallines-nla-karyo-plate2c5_159,MB-clonallines-nla-karyo-plate2c5_206,MB-clonallines-nla-karyo-plate2c5_87,MB-clonallines-nla-karyo-plate2c5_104,MB-clonallines-nla-karyo-plate2c5_230,MB-clonallines-nla-karyo-plate2c5_82,MB-clonallines-nla-karyo-plate2c5_2,MB-clonallines-nla-karyo-plate2c5_155,MB-clonallines-nla-karyo-plate2c5_13,MB-clonallines-nla-karyo-plate2c5_137,MB-clonallines-nla-karyo-plate2c5_145,MB-clonallines-nla-karyo-plate2c5_85,MB-clonallines-nla-karyo-plate2c5_106,MB-clonallines-nla-karyo-plate2c5_313,MB-clonallines-nla-karyo-plate2c5_129,MB-clonallines-nla-karyo-plate2c5_86,MB-clonallines-nla-karyo-plate2c5_98,MB-clonallines-nla-karyo-plate2c5_15,MB-clonallines-nla-karyo-plate2c5_19,MB-clonallines-nla-karyo-plate2c5_83,MB-clonallines-nla-karyo-plate2c5_10,MB-clonallines-nla-karyo-plate2c5_37,MB-clonallines-nla-karyo-plate2c5_20,MB-clonallines-nla-karyo-plate2c5_153,MB-clonallines-nla-karyo-plate2c5_110,MB-clonallines-nla-karyo-plate2c5_16,MB-clonallines-nla-karyo-plate2c5_21,MB-clonallines-nla-karyo-plate2c5_3
None,1,5500000,5750000,31.0,82.0,98.0,54.0,80.0,40.0,43.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,5750000,6000000,22.0,85.0,70.0,45.0,66.0,44.0,55.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,6000000,6250000,45.0,86.0,83.0,53.0,72.0,50.0,70.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,6250000,6500000,44.0,91.0,99.0,64.0,88.0,58.0,60.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,6500000,6750000,55.0,92.0,68.0,59.0,51.0,59.0,52.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,6750000,7000000,56.0,93.0,119.0,63.0,97.0,70.0,61.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,6750000,7000000,14.0,24.0,14.0,9.0,16.0,10.0,20.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,7000000,7250000,12.0,18.0,16.0,8.0,10.0,8.0,10.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,7000000,7250000,19.0,79.0,77.0,57.0,54.0,45.0,58.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,7250000,7500000,2.0,2.0,,,4.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,7250000,7500000,27.0,60.0,43.0,38.0,36.0,38.0,32.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,7500000,7750000,13.0,35.0,31.0,48.0,38.0,34.0,37.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,7500000,7750000,10.0,32.0,38.0,26.0,24.0,26.0,39.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,7750000,8000000,9.0,21.0,35.0,19.0,34.0,19.0,27.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,7750000,8000000,12.0,12.0,22.0,14.0,22.0,25.0,16.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,8000000,8250000,22.0,21.0,19.0,29.0,29.0,22.0,27.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,8000000,8250000,18.0,26.0,20.0,26.0,24.0,16.0,34.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,11750000,12000000,16.0,49.0,47.0,44.0,51.0,26.0,34.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,8250000,8500000,10.0,22.0,23.0,20.0,12.0,14.0,28.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,8250000,8500000,16.0,35.0,51.0,35.0,41.0,36.0,26.0,21.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,8500000,8750000,14.0,37.0,40.0,48.0,16.0,31.0,41.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,8500000,8750000,6.0,26.0,30.0,12.0,30.0,16.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,8750000,9000000,15.0,51.0,37.0,58.0,56.0,41.0,30.0,24.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,8750000,9000000,12.0,24.0,26.0,16.0,28.0,22.0,30.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,9000000,9250000,20.0,22.0,38.0,30.0,42.0,30.0,26.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,9000000,9250000,13.0,42.0,35.0,29.0,50.0,45.0,29.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,9250000,9500000,10.0,18.0,16.0,10.0,11.0,10.0,16.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,9250000,9500000,31.0,83.0,80.0,57.0,38.0,40.0,72.0,18.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,9500000,9750000,38.0,94.0,92.0,63.0,83.0,52.0,81.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,9500000,9750000,8.0,30.0,28.0,22.0,22.0,24.0,12.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,9750000,10000000,52.0,99.0,89.0,53.0,91.0,78.0,89.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,9750000,10000000,6.0,30.0,22.0,18.0,26.0,6.0,18.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,10000000,10250000,52.0,110.0,148.0,64.0,111.0,81.0,60.0,75.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,10000000,10250000,2.0,16.0,2.0,2.0,8.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,10250000,10500000,14.0,20.0,18.0,10.0,6.0,8.0,6.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,10250000,10500000,53.0,80.0,69.0,56.0,66.0,59.0,55.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,10500000,10750000,40.0,55.0,65.0,37.0,57.0,56.0,64.0,38.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,10500000,10750000,10.0,34.0,23.0,22.0,28.0,14.0,26.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,10750000,11000000,22.0,76.0,95.0,70.0,92.0,50.0,66.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,11000000,11250000,26.0,87.0,82.0,50.0,58.0,59.0,71.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,11000000,11250000,18.0,36.0,19.0,28.0,26.0,20.0,32.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,11250000,11500000,51.0,96.0,114.0,81.0,96.0,75.0,78.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,11500000,11750000,13.0,58.0,42.0,44.0,33.0,41.0,36.0,30.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,11500000,11750000,4.0,32.0,28.0,30.0,34.0,16.0,16.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,11750000,12000000,8.0,24.0,18.0,20.0,24.0,14.0,18.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,12000000,12250000,30.0,96.0,89.0,49.0,68.0,42.0,53.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,12250000,12500000,43.0,119.0,109.0,107.0,106.0,64.0,90.0,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,12500000,12750000,51.0,104.0,123.0,68.0,86.0,71.0,90.0,97.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
