,,,,MB-clonallines-nla-karyo-plate2c6_131,MB-clonallines-nla-karyo-plate2c6_129,MB-clonallines-nla-karyo-plate2c6_135,MB-clonallines-nla-karyo-plate2c6_127,MB-clonallines-nla-karyo-plate2c6_121,MB-clonallines-nla-karyo-plate2c6_125,MB-clonallines-nla-karyo-plate2c6_133,MB-clonallines-nla-karyo-plate2c6_123,MB-clonallines-nla-karyo-plate2c6_228,MB-clonallines-nla-karyo-plate2c6_75,MB-clonallines-nla-karyo-plate2c6_106,MB-clonallines-nla-karyo-plate2c6_38,MB-clonallines-nla-karyo-plate2c6_254,MB-clonallines-nla-karyo-plate2c6_26,MB-clonallines-nla-karyo-plate2c6_73,MB-clonallines-nla-karyo-plate2c6_99,MB-clonallines-nla-karyo-plate2c6_77,MB-clonallines-nla-karyo-plate2c6_252,MB-clonallines-nla-karyo-plate2c6_102,MB-clonallines-nla-karyo-plate2c6_108,MB-clonallines-nla-karyo-plate2c6_145,MB-clonallines-nla-karyo-plate2c6_104,MB-clonallines-nla-karyo-plate2c6_166,MB-clonallines-nla-karyo-plate2c6_245,MB-clonallines-nla-karyo-plate2c6_230,MB-clonallines-nla-karyo-plate2c6_96,MB-clonallines-nla-karyo-plate2c6_132,MB-clonallines-nla-karyo-plate2c6_155,MB-clonallines-nla-karyo-plate2c6_182,MB-clonallines-nla-karyo-plate2c6_103,MB-clonallines-nla-karyo-plate2c6_109,MB-clonallines-nla-karyo-plate2c6_74,MB-clonallines-nla-karyo-plate2c6_83,MB-clonallines-nla-karyo-plate2c6_149,MB-clonallines-nla-karyo-plate2c6_120,MB-clonallines-nla-karyo-plate2c6_130,MB-clonallines-nla-karyo-plate2c6_159,MB-clonallines-nla-karyo-plate2c6_12,MB-clonallines-nla-karyo-plate2c6_134,MB-clonallines-nla-karyo-plate2c6_97,MB-clonallines-nla-karyo-plate2c6_81,MB-clonallines-nla-karyo-plate2c6_126,MB-clonallines-nla-karyo-plate2c6_147,MB-clonallines-nla-karyo-plate2c6_76,MB-clonallines-nla-karyo-plate2c6_79,MB-clonallines-nla-karyo-plate2c6_36,MB-clonallines-nla-karyo-plate2c6_111,MB-clonallines-nla-karyo-plate2c6_157,MB-clonallines-nla-karyo-plate2c6_98,MB-clonallines-nla-karyo-plate2c6_101,MB-clonallines-nla-karyo-plate2c6_58,MB-clonallines-nla-karyo-plate2c6_56,MB-clonallines-nla-karyo-plate2c6_87,MB-clonallines-nla-karyo-plate2c6_34,MB-clonallines-nla-karyo-plate2c6_151,MB-clonallines-nla-karyo-plate2c6_100,MB-clonallines-nla-karyo-plate2c6_110,MB-clonallines-nla-karyo-plate2c6_37,MB-clonallines-nla-karyo-plate2c6_15,MB-clonallines-nla-karyo-plate2c6_122,MB-clonallines-nla-karyo-plate2c6_168,MB-clonallines-nla-karyo-plate2c6_5,MB-clonallines-nla-karyo-plate2c6_24,MB-clonallines-nla-karyo-plate2c6_1,MB-clonallines-nla-karyo-plate2c6_153,MB-clonallines-nla-karyo-plate2c6_154,MB-clonallines-nla-karyo-plate2c6_82,MB-clonallines-nla-karyo-plate2c6_3,MB-clonallines-nla-karyo-plate2c6_85,MB-clonallines-nla-karyo-plate2c6_9,MB-clonallines-nla-karyo-plate2c6_10,MB-clonallines-nla-karyo-plate2c6_128,MB-clonallines-nla-karyo-plate2c6_105,MB-clonallines-nla-karyo-plate2c6_28,MB-clonallines-nla-karyo-plate2c6_144,MB-clonallines-nla-karyo-plate2c6_52,MB-clonallines-nla-karyo-plate2c6_54,MB-clonallines-nla-karyo-plate2c6_78,MB-clonallines-nla-karyo-plate2c6_13,MB-clonallines-nla-karyo-plate2c6_11,MB-clonallines-nla-karyo-plate2c6_50,MB-clonallines-nla-karyo-plate2c6_32,MB-clonallines-nla-karyo-plate2c6_30,MB-clonallines-nla-karyo-plate2c6_124,MB-clonallines-nla-karyo-plate2c6_80,MB-clonallines-nla-karyo-plate2c6_146,MB-clonallines-nla-karyo-plate2c6_14,MB-clonallines-nla-karyo-plate2c6_8,MB-clonallines-nla-karyo-plate2c6_2,MB-clonallines-nla-karyo-plate2c6_150,MB-clonallines-nla-karyo-plate2c6_170,MB-clonallines-nla-karyo-plate2c6_48,MB-clonallines-nla-karyo-plate2c6_35
129P2_OlaHsd,1,8250000,8500000,36.0,12.0,6.0,20.0,4.0,18.0,32.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,8250000,8500000,36.0,10.0,15.0,33.0,10.0,24.0,37.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,8500000,8750000,39.0,2.0,16.0,32.0,12.0,20.0,28.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,8500000,8750000,28.0,6.0,20.0,46.0,22.0,24.0,20.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,8750000,9000000,26.0,4.0,24.0,20.0,6.0,17.0,28.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,8750000,9000000,44.0,14.0,15.0,41.0,12.0,28.0,27.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,9000000,9250000,45.0,13.0,25.0,31.0,19.0,16.0,27.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,9000000,9250000,40.0,4.0,12.0,32.0,16.0,22.0,26.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,9250000,9500000,34.0,6.0,8.0,20.0,8.0,10.0,12.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,9250000,9500000,66.0,16.0,45.0,44.0,41.0,37.0,68.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,9500000,9750000,65.0,29.0,46.0,74.0,32.0,42.0,67.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,9500000,9750000,24.0,,22.0,18.0,10.0,14.0,30.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,9750000,10000000,92.0,18.0,47.0,84.0,42.0,70.0,95.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,9750000,10000000,36.0,4.0,4.0,34.0,14.0,18.0,20.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,10000000,10250000,114.0,18.0,55.0,102.0,72.0,75.0,96.0,17.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,10000000,10250000,12.0,,4.0,,2.0,4.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,10250000,10500000,24.0,2.0,12.0,8.0,12.0,10.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,10250000,10500000,59.0,22.0,42.0,59.0,30.0,48.0,63.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,10500000,10750000,85.0,16.0,34.0,55.0,28.0,41.0,45.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,10500000,10750000,36.0,2.0,8.0,20.0,10.0,12.0,26.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,112250000,112500000,2.0,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,10750000,11000000,92.0,20.0,32.0,57.0,41.0,45.0,73.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,10750000,11000000,8.0,,6.0,6.0,4.0,2.0,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129P2_OlaHsd,1,11000000,11250000,52.0,,24.0,18.0,16.0,26.0,24.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
None,1,11000000,11250000,85.0,22.0,33.0,60.0,24.0,49.0,47.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
